1754	126
1224	109
1138	91
1056	66
1121	77
1564	104
2757	184
6401	345
9844	587
9800	830
12645	752
11137	655
12197	547
11874	750
11581	854
12464	904
12511	873
11133	812
13149	677
8356	488
7391	403
5777	328
4089	235
2335	207
y = 14.73241083347948 * x + 465.93963284965776
1025	19
686	10
956	7
673	11
767	7
811	12
1249	6
2052	19
3981	68
3772	73
3887	109
3972	96
4490	87
3807	134
3725	118
3933	126
4241	112
4022	85
4245	82
3413	88
2751	56
1981	38
1344	40
962	31
y = 30.447450482185136 * x + 795.1398336894381
35	121
55	120
23	103
33	41
62	58
110	97
106	83
211	122
522	288
536	349
677	496
574	415
705	219
612	392
599	590
666	536
656	470
677	426
502	195
498	273
678	253
406	183
130	127
117	120
y = 1.3426363512387989 * x + 42.9499538967425
313	50
285	34
207	27
229	31
236	33
258	36
722	34
1500	84
2575	118
2464	251
3153	248
2324	173
2952	180
2571	247
2599	263
2817	242
2665	265
2661	245
2545	142
1951	143
1604	95
995	89
717	66
346	63
y = 11.087571634563306 * x + 152.6400502672716
177	14
134	12
61	9
190	10
119	6
72	4
247	9
408	7
961	15
543	22
727	23
969	30
922	20
1079	27
696	17
603	31
1034	31
683	28
946	24
718	15
665	16
1211	17
380	19
157	11
y = 32.06186899281156 * x + 13.841692916565762
2301	58
1544	39
1283	46
1368	34
1003	34
1233	31
2797	53
6269	96
10086	181
10593	256
15742	209
16428	191
20045	263
16101	309
13969	291
15018	296
15452	283
15639	262
19115	205
15047	150
11617	147
9529	128
6425	73
3708	76
y = 58.551354958974706 * x + 626.1634061352015
503	312
410	222
385	234
355	208
239	233
360	266
369	247
463	231
716	327
1021	516
1401	541
1225	520
1503	492
1179	575
1104	638
1529	682
1446	568
941	574
1466	552
1044	468
1020	390
888	413
703	347
562	308
y = 2.5927004184036644 * x + -197.59987196390603
2842	175
2099	130
1719	87
1965	75
1909	101
2148	110
4247	232
7728	370
12229	601
12175	973
14220	942
14604	878
13552	785
11031	1000
12257	1029
12310	1125
12951	1114
13833	1068
16726	922
13964	672
13723	517
11886	411
6703	339
3581	265
y = 11.80179723807847 * x + 2337.8825270295674
44	26
47	18
42	22
24	755
49	479
38	27
81	125
158	170
223	145
270	237
211	240
340	231
350	279
236	252
254	226
391	213
380	215
233	185
240	120
90	97
205	100
194	67
193	65
63	46
y = 0.04799963423873759 * x + 172.82006614182828
450	109
454	99
412	77
209	66
331	73
297	70
512	87
1017	131
1474	153
1806	325
1908	352
1897	275
1961	233
2108	286
1967	284
1638	290
1855	311
1749	295
1504	195
1304	212
1320	204
1028	182
778	153
722	135
y = 6.533272150202977 * x + -55.518836436795254
4482	199
3655	114
3291	93
3206	76
3228	80
3712	139
6541	227
11447	517
18073	999
16020	1350
21273	1313
20538	884
20868	655
16217	937
18207	1053
18687	1006
20048	912
19060	841
20805	665
17315	618
15870	476
13545	427
8269	322
5140	234
y = 14.961980711237285 * x + 4082.4782785516054
851	61
458	53
412	42
365	35
345	41
338	49
644	154
1506	357
2797	503
2638	493
3387	489
3146	453
2632	462
2743	581
3414	643
4224	667
3990	720
3002	686
3254	493
2116	327
1903	255
1706	194
1177	144
849	110
y = 5.099835374393274 * x + 293.2132908483786
747	35
386	35
427	28
324	25
633	30
422	42
518	36
645	53
1306	56
1356	73
1865	51
1651	90
1923	65
1806	60
1736	89
1934	71
1784	71
1921	79
2244	66
1695	59
1366	59
1593	52
1123	48
888	44
y = 26.84655537342648 * x + -210.9963927834449
216	55
148	45
145	35
135	30
126	30
162	63
157	33
339	84
516	136
557	190
406	141
351	46
488	99
546	393
601	479
525	228
515	282
502	237
579	189
540	171
409	104
364	122
263	116
270	78
y = 1.1256095539210769 * x + 210.36191876763473
314	144
223	62
181	105
166	142
285	1356
213	213
658	198
1373	522
2331	599
2226	735
1823	694
2113	552
2311	510
1798	712
2382	769
2560	682
2661	809
1586	692
1446	459
1082	319
1303	316
1757	244
1182	209
422	156
y = 1.4386821259401597 * x + 678.5082863165063
1283	71
940	55
930	46
880	32
950	42
1184	50
1775	114
3412	278
5818	458
6146	539
9614	513
8824	424
8402	459
6552	516
7190	585
8488	647
8509	680
8256	634
9851	510
6676	313
5645	229
4646	215
3337	162
2009	109
y = 12.972971621879847 * x + 902.9835405142039
73	81
9	67
28	51
20	35
19	33
37	45
112	124
299	457
564	740
607	885
748	697
660	560
898	573
497	750
568	714
835	600
840	590
656	556
543	468
451	398
430	333
431	238
228	177
105	126
y = 0.9282133714298021 * x + 42.811336351904174
642	20
548	26
449	12
421	22
342	18
624	28
1013	39
1946	113
2706	187
2859	227
3316	203
2981	257
3418	225
2946	252
2875	245
3485	267
3486	205
3340	151
4917	136
3842	74
3842	68
3772	48
1880	48
947	31
y = 9.56858884609708 * x + 1201.2064653594282
6616	233
4885	162
4246	100
4219	94
4055	112
4771	184
8181	349
14436	686
23277	965
22710	1293
27751	1227
27173	1338
28179	1125
22209	1598
24455	1763
27520	1717
28462	1684
26461	1491
33206	1020
26725	791
24487	628
18872	548
12018	451
7222	319
y = 14.788348286329 * x + 5757.217198514672
150	4
135	7
175	8
125	7
137	3
258	1
302	4
783	11
1135	17
1290	29
1511	43
1407	36
1705	34
1117	29
970	43
1137	46
1307	47
1506	44
1720	38
1368	28
1183	26
984	10
528	12
335	9
y = 29.727704514975414 * x + 222.2479324988824
179	34
210	32
181	26
142	26
124	26
158	18
166	13
235	30
279	23
671	44
571	49
689	47
558	49
735	63
771	59
719	53
739	54
458	47
525	46
550	49
522	50
417	43
292	46
225	35
y = 15.193654400129835 * x + -187.5123138718709
565	27
449	19
329	11
234	11
410	9
359	9
771	26
1812	57
2733	114
3162	195
3802	210
3715	155
4019	130
3597	217
3287	237
3732	165
4398	195
3761	169
3516	92
2865	76
2301	75
2113	65
1128	45
766	27
y = 16.93655409615914 * x + 594.175401307177
1154	74
945	67
773	68
784	68
829	57
896	74
1224	50
2257	62
3326	82
3207	146
4364	172
4131	135
5078	130
4664	154
4717	158
3779	160
4503	194
4637	186
5405	179
3601	135
3472	129
2604	118
1719	90
1279	96
y = 31.281069215935666 * x + -739.1040290485371
1227	7
925	12
767	3
692	1
971	4
954	1
1691	4
2787	10
4600	26
4067	37
4987	37
4854	48
5865	37
4602	39
4291	66
4306	62
4448	62
4806	59
6871	34
6290	30
5593	25
4484	13
3135	12
2093	17
y = 63.02820706623997 * x + 1857.9074264670405
245	40
143	47
159	38
154	23
160	22
166	17
314	28
493	51
676	71
625	141
1010	161
765	137
872	151
576	124
615	180
877	183
911	231
740	141
1208	138
683	95
731	67
638	60
365	54
247	53
y = 4.071892896390956 * x + 174.95938768463236
1865	183
1395	119
1192	102
1039	79
1148	96
2087	156
2783	228
5988	459
9034	769
7534	920
9882	942
9048	876
9370	806
7984	979
8761	1112
9910	1242
9105	1222
9018	1273
8984	1149
7613	811
5962	577
5042	440
3845	353
2223	256
y = 7.553848805366236 * x + 1099.1143519794532
303	105
301	70
173	155
176	99
192	131
270	78
273	90
527	162
721	300
709	334
866	324
568	244
990	257
943	299
898	289
932	332
859	297
918	277
866	201
917	171
783	152
441	125
414	136
412	100
y = 2.5689044105455148 * x + 96.0924977892002
445	35
387	28
511	48
517	19
494	24
441	20
607	18
1061	37
1708	78
1640	151
1994	197
2166	154
2329	128
1735	188
1331	151
1812	178
1855	201
2200	162
2380	137
2166	114
1914	82
1551	78
827	63
474	59
y = 9.197173272699086 * x + 455.48511704821453
270	109
209	72
181	48
240	59
214	80
282	89
590	141
1697	283
1805	335
1530	444
1727	260
1478	195
1986	193
1652	262
1754	348
1499	336
1902	382
1912	298
2049	266
1580	192
1223	202
971	219
704	143
388	145
y = 5.234608008746032 * x + 47.5526894744371
2448	176
1380	121
1361	93
888	69
1023	91
1334	117
2600	197
5133	435
7834	741
7644	1005
9817	948
8962	869
11552	778
9181	998
10165	1089
9023	1156
8850	1071
8289	1033
9670	874
7593	651
7198	530
6202	389
3939	324
2364	242
y = 8.413597732082943 * x + 1111.8696893347933
5155	152
3432	103
2462	71
2282	70
2349	76
2813	141
5940	201
9640	438
12507	721
10410	1083
12670	1153
12721	909
14358	741
11679	969
12200	1155
13985	1121
13179	1090
13924	1151
17897	876
14111	561
15162	505
12715	381
9457	306
5226	229
y = 9.18182007254365 * x + 4411.02539623594
304	30
317	34
231	28
300	40
292	29
298	39
1217	56
1718	67
2636	115
2582	147
2277	126
2680	111
3305	134
1935	142
1934	145
1950	111
2161	124
2310	128
3051	80
1645	76
1251	73
1174	55
654	46
418	42
y = 19.96110805211474 * x + -118.46132196178974
261	285
190	222
125	191
118	206
167	226
216	259
355	434
695	946
1094	1394
860	1845
1329	1622
1010	1310
1149	1262
1217	1723
1362	1801
1341	1826
1366	1838
1188	1675
1378	1430
1051	1103
867	918
833	757
641	641
297	481
y = 0.7032669074641026 * x + 81.40849135055066
6	4
11	3
4	1
10	2
6	1
14	4
9	8
23	6
46	14
56	21
83	27
141	21
89	16
90	26
91	23
97	23
94	16
74	17
13	12
24	12
25	8
34	7
15	5
5	4
y = 4.13853693217886 * x + -4.288703247594157
2157	59
1746	40
1484	31
1218	34
1611	46
1539	40
1792	35
3100	63
6105	86
6345	162
8268	225
7641	220
7740	204
5595	192
6137	225
7419	257
7450	242
6436	223
7600	160
7109	128
7208	130
6378	124
4075	97
2262	78
y = 28.851451616280123 * x + 1206.1103557464717
1967	184
1016	117
715	147
699	131
657	100
696	114
953	174
2822	330
4508	366
4489	295
4108	4
4636	1
7636	363
4656	933
3280	1182
3618	1153
4024	728
3182	850
4909	713
4475	556
5920	505
4418	378
2516	333
2134	232
y = 2.0103463444863774 * x + 2423.070208307259
505	43
298	31
261	28
219	30
295	27
356	24
450	30
666	39
893	40
1120	82
1529	51
1278	57
1605	65
1396	74
1236	68
1379	87
1210	85
1005	77
1340	49
1100	66
866	55
627	54
749	36
581	35
y = 17.29411606843341 * x + -14.985213015766476
295	75
260	48
232	41
208	39
109	51
353	67
384	116
688	183
1103	236
1072	294
1513	313
1372	266
1612	283
1223	428
1308	433
1620	444
1407	456
1422	420
1773	326
1447	240
1395	221
1314	139
732	144
553	81
y = 3.1971047827470507 * x + 262.90300170832336
712	91
304	55
280	40
778	69
242	58
617	81
475	50
944	75
1276	117
1036	130
1391	212
1091	154
1464	125
1195	163
880	163
1170	203
1607	192
1038	158
1522	182
1088	118
1132	149
891	109
549	102
413	94
y = 6.5701793450228445 * x + 129.4659038701658
132	25
83	14
26	11
61	13
54	20
60	25
198	41
482	57
931	107
1171	149
1594	190
1224	136
1223	121
1391	165
1456	159
1511	184
1452	190
1047	185
833	104
802	112
583	77
382	69
243	55
132	33
y = 8.540387428497526 * x + -86.52285894547731
2964	182
2311	111
1722	72
1599	62
1783	59
2036	70
3510	126
7440	308
12627	446
13186	654
12621	661
14485	556
16053	451
12117	635
13117	691
15975	705
15736	869
10856	818
9855	587
6579	473
8763	349
8562	290
5547	249
3849	176
y = 17.51035103453342 * x + 1466.4012528532976
678	17
536	17
551	18
504	16
492	18
618	21
1507	20
2895	21
4297	31
3791	31
5218	42
5024	34
5470	33
4112	45
3782	43
4738	33
4716	35
4392	48
5067	29
3638	33
2870	32
2301	26
1290	26
968	22
y = 156.71245021714333 * x + -1618.054295835252
850	5
590	8
653	5
826	6
514	5
667	18
1429	12
1883	33
2158	36
2461	51
2968	55
2865	46
3518	40
2887	57
2856	58
3059	70
2891	47
2917	57
4475	31
4031	27
3727	24
3495	22
2127	10
1572	7
y = 35.57240720750644 * x + 1227.1309474383459
82	25
139	14
132	7
116	10
207	10
138	11
182	20
208	29
485	65
476	113
548	203
536	184
491	152
474	171
395	252
536	230
529	259
353	213
503	141
544	112
505	80
517	78
163	42
182	35
y = 1.551308894444745 * x + 192.9577231351544
3523	128
2339	83
2120	76
1915	71
2120	81
2452	124
4680	181
7652	388
9954	669
9985	983
11808	1036
11303	812
12528	656
10203	917
10765	1053
11895	1004
11755	938
10881	959
14408	699
12012	504
10090	444
8686	349
6061	289
3995	190
y = 9.637708766009755 * x + 2973.632810426365
39	87
19	53
30	38
41	29
23	20
53	28
62	133
123	358
246	509
283	518
258	496
272	445
332	442
347	580
467	632
441	707
432	760
337	908
164	598
119	419
124	347
123	262
91	230
94	116
y = 0.49409558527166164 * x + 8.914873931561203
318	124
162	74
233	107
86	126
59	117
127	68
215	114
677	70
747	116
810	115
1105	196
1140	138
1455	168
993	159
923	159
1193	182
1237	181
1344	167
1619	141
1721	140
1092	141
873	91
566	121
712	76
y = 8.65179329806091 * x + -305.65387851276137
394	20
310	14
240	13
199	15
206	12
235	13
599	15
1045	37
1783	78
2011	97
2583	100
2548	100
2676	77
2392	78
2163	114
2396	123
