14018321	1	0.052	117.27505	26.97231	117.27496	26.97185
1121696	1	0.376	117.27496	26.97185	117.27447	26.96849
1123268	1	0.036	117.27447	26.96849	117.27443	26.96817
14726641	1	0.073	117.27443	26.96817	117.27434	26.96752
14726642	1	0.158	117.27434	26.96752	117.2742	26.96611
1121668	1	0.091	117.2742	26.96611	117.27424	26.96529
14018306	1	0.346	117.27424	26.96529	117.27504	26.96227
14018307	1	0.086	117.27504	26.96227	117.27542	26.96157
1123231	1	0.661	117.27542	26.96157	117.28	26.95737
14018304	1	0.154	117.28	26.95737	117.28141	26.95679
14018305	1	0.044	117.28141	26.95679	117.28183	26.95666
14018295	1	0.065	117.28183	26.95666	117.28246	26.95649
1123237	1	0.396	117.28246	26.95649	117.28642	26.95619
1123238	1	1.394	117.28642	26.95619	117.29958	26.95277
1123225	1	0.084	117.29958	26.95277	117.30042	26.9527
1121662	1	0.293	117.30042	26.9527	117.30337	26.95275
1123226	1	0.022	117.30337	26.95275	117.30359	26.95276
1123227	1	2.547	117.30359	26.95276	117.3266	26.94332
1123253	1	0.044	117.3266	26.94332	117.32696	26.94309
14726645	1	0.032	117.32696	26.94309	117.32722	26.94292
14726646	1	0.061	117.32722	26.94292	117.32772	26.9426
1121657	1	1.162	117.32772	26.9426	117.33712	26.93635
1123228	1	0.031	117.33712	26.93635	117.33737	26.93619
1123245	1	0.151	117.33737	26.93619	117.33858	26.93537
1123247	1	0.584	117.33858	26.93537	117.3432	26.93211
1123248	1	0.8	117.3432	26.93211	117.34955	26.92778
49392553	1	1.462	117.34955	26.92778	117.36418	26.92625
49392554	1	1.101	117.36418	26.92625	117.375	26.924
1887171	1	0.246	117.375	26.924	117.37739	26.92342
1887173	1	0.448	117.37739	26.92342	117.38136	26.92153
1887174	1	0.112	117.38136	26.92153	117.3823	26.92098
1887180	1	0.052	117.3823	26.92098	117.38273	26.92072
14726649	1	0.057	117.38273	26.92072	117.38321	26.92043
14726650	1	0.07	117.38321	26.92043	117.3838	26.92008
1887154	1	0.781	117.3838	26.92008	117.39072	26.91675
1887176	1	0.011	117.39072	26.91675	117.39082	26.91671
1887177	1	0.012	117.39082	26.91671	117.39093	26.91667
1838996	1	5.067	117.39093	26.91667	117.42657	26.88707
1838987	1	0.296	117.42657	26.88707	117.42727	26.88448
1839049	1	0.067	117.42727	26.88448	117.42744	26.8839
1839050	1	0.12	117.42744	26.8839	117.42776	26.88286
1837476	1	0.425	117.42776	26.88286	117.4288	26.87914
