G70#1341560#14948422	119.17948	26.04897	119.14415	26.10598	[]
G1514#12835122#935598	118.06758	27.45202	118.0666	27.48625	null
G25#1465613#12511851	117.99286	26.50809	118.11765	26.51547	null
G25#1465545#979429	117.99932	26.51204	117.81573	26.4272	null
G1514#846369#789989	117.99604	27.52056	117.99709	27.6029	null
G1501#49600240#1225189	119.24133	26.11371	119.26289	26.11738	null
G72#811312#811316	117.321	25.95189	117.34146	25.94619	null
G1514#12837222#14809763	117.99682	27.60968	117.99053	27.52801	null
G1514#935580#12834981	118.06645	27.48631	118.06681	27.4546	null
G70#763190#763187	117.0	27.25816	117.03865	27.25037	null
G25#1001938#49418154	117.81017	26.4288	117.99286	26.50809	null
G1514#883406#935576	118.03103	27.50604	118.06845	27.48978	[]
G76#647946#647946	117.78124	24.49193	117.78316	24.49099	null
G1514#935585#883424	118.07031	27.49044	118.03812	27.50821	[]
S35#14960133#14960068	118.69439	25.44139	118.66139	25.39089	[26, 22, 9, 9, 11, 13, 14, 40, 44, 88, 158, 134, 132, 104, 216, 170, 171, 165, 119, 87, 79, 62, 37, 25]
G25#1824633#1464059	118.12092	26.51816	117.99932	26.51204	null
